Producto,codigo,precio,categoria,unidad
ABRAZADERA PARA CABLE NO-NAIL ADHERIBLE NO. 71 ,A109,Ej. Sube tu Producto,SISTEMA TIERRA,m110
ABRAZADERA PARA TIERRA (1/2-5/8-4-4/0 ) C297A ,A110,Ej. Sube tu Producto,SISTEMA TIERRA,m111
ABRAZADERA PARA TIERRA C297A- TIPO JAULA DE FARADAY PARA COBRE-BRONCE- MARCA ANPASA. ,A111,Ej. Sube tu Producto,SISTEMA TIERRA,m112
ABRAZADERA PARA TIERRA CAT PI-121 ,A112,Ej. Sube tu Producto,SISTEMA TIERRA,m113
ABRAZADERA SIN FIN 13 MM ,A113,Ej. Sube tu Producto,SISTEMA TIERRA,m114
"ABRAZADERA TIPO ""U"" PARA TUBERIA DE 13 MM DE DIAM. SC-137 ",A114,Ej. Sube tu Producto,SISTEMA TIERRA,m115
ABRAZADERA TIPO PERA DE 19 MM DE DAIM. MARCA CLEVIS. ,A115,Ej. Sube tu Producto,SISTEMA TIERRA,m116
"ABRAZADERA TIPO PERA DE 8 MM (5/16"") DE DIAMETRO- MARCA CLEVIS. ",A116,Ej. Sube tu Producto,SISTEMA TIERRA,m117
"ABRAZADERA TIPO UÑA SC-126 1 ¼"" ",A117,Ej. Sube tu Producto,SISTEMA TIERRA,m118
"ABRAZADERA TIPO UÑA SC-126 1 ½""",A118,Ej. Sube tu Producto,SISTEMA TIERRA,m119
"ABRAZADERA TIPO UÑA SC-126 2"" ",A119,Ej. Sube tu Producto,SISTEMA TIERRA,m120
"ABRAZADERA TIPO UÑA SC-126 3/4"" ",A120,Ej. Sube tu Producto,SISTEMA TIERRA,m121
ABRAZADERA TRUPER SIN FIN A.L. 16 A 23 MM MODELO M-8,A121,Ej. Sube tu Producto,SISTEMA TIERRA,m122
ABRAZADERA TRUPER SIN FIN A.L. 19 A 27 MM MODELO M-10 ,A122,Ej. Sube tu Producto,SISTEMA TIERRA,m123
ABRAZADERA TRUPER SIN FIN A.L. 19 A 38 MM MODELO M-16,A123,Ej. Sube tu Producto,SISTEMA TIERRA,m124
"ABRAZADERA U C/TUERCAS HEXAG.STD. FIG. SC-137 100MM (4"") DIAM. ",A124,Ej. Sube tu Producto,SISTEMA TIERRA,m125
"ABRAZADERA U C/TUERCAS HEXAG.STD. FIG. SC-137 150MM (6"") DIAM. ",A125,Ej. Sube tu Producto,SISTEMA TIERRA,m126
"ABRAZADERA U C/TUERCAS HEXAG.STD. FIG. SC-137 200MM (8"") DIAM. ",A126,Ej. Sube tu Producto,SISTEMA TIERRA,m127
"ABRAZADERA U C/TUERCAS HEXAG.STD. FIG. SC-137 32MM (1 1/4"") DIAM. ",A127,Ej. Sube tu Producto,SISTEMA TIERRA,m128
"ABRAZADERA U C/TUERCAS HEXAG.STD. FIG. SC-137 38MM (1 1/2"") DIAM.",A128,Ej. Sube tu Producto,SISTEMA TIERRA,m129
"ABRAZADERA U C/TUERCAS HEXAG.STD. FIG. SC-137 50MM (2"") DIAM. ",A129,Ej. Sube tu Producto,SISTEMA TIERRA,m130
"ABRAZADERA U C/TUERCAS HEXAG.STD. FIG. SC-137 64MM (2 1/2"") DIAM. ",A130,Ej. Sube tu Producto,SISTEMA TIERRA,m131
"ABRAZADERA U C/TUERCAS HEXAG.STD. FIG. SC-137 76MM (3"") DIAM. ",A131,Ej. Sube tu Producto,SISTEMA TIERRA,m132
"ABRAZADERA U C/TUERCAS HEXAG.STD. FIG. SC-137 P/TUBO 25 MM (1"") DIAM. ",A132,Ej. Sube tu Producto,SISTEMA TIERRA,m133
"ABRAZADERA U LIG. SC-120 ½"" C/TCA ",A133,Ej. Sube tu Producto,HERRERIA,m134
"ABRAZADERA U LIG. SC-120 1 ¼"" C/TCA ",A134,Ej. Sube tu Producto,HERRERIA,m135
"ABRAZADERA U LIG. SC-120 1 ½"" C/TCA ",A135,Ej. Sube tu Producto,HERRERIA,m136
"ABRAZADERA U LIG. SC-120 1"" C/TCA ",A136,Ej. Sube tu Producto,HERRERIA,m137
"ABRAZADERA U LIG. SC-120 2 ½"" C/TCA",A137,Ej. Sube tu Producto,HERRERIA,m138
"ABRAZADERA U LIG. SC-120 2"" C/TCA ",A138,Ej. Sube tu Producto,HERRERIA,m139
"ABRAZADERA U LIG. SC-120 3"" C/TCA ",A139,Ej. Sube tu Producto,HERRERIA,m140
"ABRAZADERA U LIG. SC-120 3/4"" C/TCA",A140,Ej. Sube tu Producto,HERRERIA,m141
"ABRAZADERA U LIGERA C/TUERCAS HEXAG. FIG.SC-120 101MM (4"") DIAM. ",A141,Ej. Sube tu Producto,HERRERIA,m142
"ABRAZADERA U-10 DE 13 MM (1/2"") (16 MM SEDE99) PARA UNICANAL MARCA CLEVIS",A142,Ej. Sube tu Producto,HERRERIA,m143
